"","sim_number","oxcal_target","a_pass","Targets","Span","Samples","Errors","OffsetVaria","model_run","accuracy_68","accuracy_95","precision_68","precision_95","off_target_68","off_target_95","Offset"
"902",902,"T361","Fail",361,92,15,15,16.6965824450334,1,1,1,11,20,0,0,0
"903",903,"T938","Fail",938,72,20,9,25.5795078460812,1,1,1,8,13.5,0,0,0
"904",904,"T1094","Fail",1094,87,10,28,13.9014891082428,1,1,1,8.5,15,0,0,0
"905",905,"T316","Pass",316,62,18,22,0.484103406133363,1,1,1,10,18.5,0,0,0
"906",906,"T480","Pass",480,64,22,9,8.72708608400449,1,1,1,5,9.5,0,0,0
"907",907,"T1130","Pass",1130,53,12,27,7.92248173855082,1,1,1,6,12.5,0,0,0
"908",908,"T823","Fail",823,48,23,16,12.8013316505852,1,1,1,18.5,42.5,0,0,0
"909",909,"T820","Pass",820,37,8,25,7.20785322086327,1,1,1,34,72,0,0,0
"910",910,"T316","Pass",316,95,14,10,9.01530193433841,1,1,1,9.5,18,0,0,0
"911",911,"T209","FALSE",209,33,24,11,10.5722301618827,0,0,0,0,0,0,0,0
"912",912,"T489","Fail",489,90,20,13,23.0798384571664,1,1,1,5,9,0,0,0
"913",913,"T486","Pass",486,98,15,17,2.67368397296686,1,1,1,5,11,0,0,0
"914",914,"T865","Pass",865,38,23,16,1.6906732980744,1,1,1,9,17,0,0,0
"915",915,"T1103","Pass",1103,65,24,24,11.0130125905618,1,1,1,12,24,0,0,0
"916",916,"T1142","Pass",1142,67,12,16,12.2068155372737,1,1,1,12.5,21.5,0,0,0
"917",917,"T323","Pass",323,52,17,18,16.9886432771019,1,0,1,10,20,5,0,0
"918",918,"T1069","Pass",1069,94,17,17,7.91423225631285,1,1,1,9.5,20,0,0,0
"919",919,"T381","Pass",381,55,3,12,2.9658656586709,1,1,1,20,36.5,0,0,0
"920",920,"T555","Fail",555,42,21,25,24.2379065732013,1,1,1,7,12,0,0,0
"921",921,"T660","Fail",660,55,11,13,26.448821144548,1,1,1,5.5,11.5,0,0,0
"922",922,"T561","Pass",561,93,11,26,26.1373487247962,1,1,1,8,16,0,0,0
"923",923,"T677","Pass",677,50,4,32,7.46002863901551,1,1,1,19,41,0,0,0
"924",924,"T770","Pass",770,32,17,28,26.2897371137475,1,1,1,9,18.5,0,0,0
"925",925,"T1183","Pass",1183,80,19,19,1.73881754761399,1,1,1,8.5,16,0,0,0
"926",926,"T949","Fail",949,95,7,21,20.6923143071476,1,1,1,7,16,0,0,0
"927",927,"T819","Pass",819,73,6,29,13.0528017951043,1,1,1,19,40,0,0,0
"928",928,"T708","Pass",708,98,6,30,23.8203339655229,1,0,1,14.5,31,3,0,0
"929",929,"T550","Pass",550,41,5,14,5.21794388645445,1,1,1,6,12,0,0,0
"930",930,"T990","Pass",990,66,14,10,5.92560992551106,1,1,1,7,17.5,0,0,0
"931",931,"T777","Pass",777,25,21,29,24.686820561128,1,1,1,9,24,0,0,0
"932",932,"T335","Pass",335,93,4,10,6.4059499800757,1,0,1,17,32,11,0,0
"933",933,"T800","Pass",800,85,25,25,5.9859127491992,1,1,1,14.5,35.5,0,0,0
"934",934,"T1122","Pass",1122,39,11,30,24.728708185629,1,0,1,26,64,4.5,0,0
"935",935,"T1185","Pass",1185,82,15,16,6.92547888665181,1,1,1,9,15.5,0,0,0
"936",936,"T261","FALSE",261,58,7,11,12.5243961988736,0,0,0,0,0,0,0,0
"937",937,"T587","Pass",587,61,13,12,23.4594766091572,1,0,1,6,11.5,3,0,0
"938",938,"T348","Pass",348,41,19,18,22.8197155119414,1,0,0,12.5,28,78,22,0
"939",939,"T833","Fail",833,78,12,9,19.6588927353933,1,1,1,8,17,0,0,0
"940",940,"T935","Pass",935,49,10,23,16.8119251905226,1,1,1,8,20.5,0,0,0
"941",941,"T624","Pass",624,80,18,14,3.292488267462,1,1,1,5,9,0,0,0
"942",942,"T1065","Fail",1065,85,24,12,19.7138634014225,1,0,1,7,12.5,1,0,0
"943",943,"T389","FALSE",389,66,21,31,1.24486078412738,0,0,0,0,0,0,0,0
"944",944,"T762","Pass",762,64,13,12,16.1362261658371,1,1,1,9,15.5,0,0,0
"945",945,"T497","Pass",497,100,14,19,1.42018753613299,1,1,1,6.5,12.5,0,0,0
"946",946,"T904","Fail",904,92,18,12,24.2604657169452,1,1,1,6.5,13.5,0,0,0
"947",947,"T228","FALSE",228,27,2,31,23.715126612518,0,0,0,0,0,0,0,0
"948",948,"T688","Pass",688,53,22,11,10.9440301708165,1,0,1,5.5,11.5,0.5,0,0
"949",949,"T922","Pass",922,34,19,23,6.14109361107717,1,1,1,9,16,0,0,0
"950",950,"T480","Pass",480,59,6,14,8.08041997965123,1,1,1,6.5,13.5,0,0,0
"951",951,"T717","Pass",717,57,17,30,4.93707163435384,1,1,1,9,16.5,0,0,0
"952",952,"T306","Pass",306,32,4,20,15.5856605427109,1,1,1,11.5,32.5,0,0,0
"953",953,"T353","Pass",353,96,11,18,7.60894129517931,1,1,1,10.5,21.5,0,0,0
"954",954,"T264","FALSE",264,64,21,16,3.84175125276064,0,0,0,0,0,0,0,0
"955",955,"T628","Pass",628,71,12,18,12.8100594387879,1,1,1,5,12,0,0,0
"956",956,"T791","Fail",791,79,9,13,26.4203914065121,1,1,1,9.5,18.5,0,0,0
"957",957,"T539","Pass",539,74,3,31,16.5453789375033,1,0,1,14.5,35,5,0,0
"958",958,"T785","Pass",785,25,15,10,3.03535282188491,1,1,1,4,9,0,0,0
"959",959,"T1064","Pass",1064,36,20,25,24.2008882433518,1,0,1,15,39.5,38.5,0,0
"960",960,"T385","FALSE",385,60,20,27,22.3112962183289,0,0,0,0,0,0,0,0
"961",961,"T611","Fail",611,33,12,13,18.3201385564955,1,1,1,10,20,0,0,0
"962",962,"T1063","Pass",1063,84,14,12,5.91548600264639,1,1,1,9,17.5,0,0,0
"963",963,"T341","Pass",341,44,4,15,1.01363816450909,1,1,1,16,35,0,0,0
"964",964,"T1100","Pass",1100,57,5,29,17.4109122898784,1,1,1,28.5,76,0,0,0
"965",965,"T1171","Pass",1171,50,15,19,7.72454025926022,1,1,1,5.5,12,0,0,0
"966",966,"T371","Pass",371,34,7,11,16.1621154972767,1,0,1,12,23,6.5,0,0
"967",967,"T651","Fail",651,92,18,21,21.3998743123785,1,1,1,5.5,12.5,0,0,0
"968",968,"T870","Pass",870,52,4,23,22.6659995962731,1,0,0,13,28.5,97,89.5,0
"969",969,"T754","Pass",754,51,2,23,15.9916471626018,1,1,1,31.5,52,0,0,0
"970",970,"T1074","Pass",1074,31,17,21,8.11471624609455,1,1,1,16.5,33.5,0,0,0
"971",971,"T315","Pass",315,82,8,18,19.8551808495864,1,1,1,10.5,19.5,0,0,0
"972",972,"T383","Fail",383,62,18,17,18.0487767352622,1,1,1,13,24.5,0,0,0
"973",973,"T995","Pass",995,43,17,15,22.1935537927377,1,1,1,9,15,0,0,0
"974",974,"T953","Pass",953,70,3,19,5.30928630180983,1,1,1,18.5,51,0,0,0
"975",975,"T356","Pass",356,97,23,13,2.66984821505216,1,1,1,11,20,0,0,0
"976",976,"T683","Pass",683,54,19,15,0.354332156850724,1,1,1,7.5,14.5,0,0,0
"977",977,"T536","Pass",536,65,13,26,21.2443415016143,1,0,1,7,13,4.5,0,0
"978",978,"T787","Pass",787,93,7,15,7.36596699835244,1,1,1,7.5,17,0,0,0
"979",979,"T989","Pass",989,76,16,16,2.74377006749925,1,1,1,7,13,0,0,0
"980",980,"T703","Pass",703,48,24,14,6.66849534103926,1,1,1,8,14.5,0,0,0
"981",981,"T375","Pass",375,94,21,14,18.2430600352238,1,0,1,11,19,3.5,0,0
"982",982,"T1145","Pass",1145,57,14,25,15.0309444288921,1,1,1,13.5,27.5,0,0,0
"983",983,"T1077","Pass",1077,38,23,9,4.83620969387656,1,1,1,12.5,25,0,0,0
"984",984,"T842","Pass",842,78,17,18,11.800048094803,1,1,1,7,15.5,0,0,0
"985",985,"T757","Pass",757,27,8,18,12.8371192020257,1,1,1,24.5,40.5,0,0,0
"986",986,"T480","Fail",480,32,19,8,16.9820479805421,1,1,1,4,9,0,0,0
"987",987,"T860","Pass",860,65,16,18,3.06692641411396,1,0,1,6.5,13.5,0.5,0,0
"988",988,"T574","Pass",574,26,24,10,14.8041812640007,1,1,1,6.5,13.5,0,0,0
"989",989,"T896","Pass",896,82,21,14,7.27895579269296,1,1,1,5,10.5,0,0,0
"990",990,"T926","Fail",926,68,15,32,24.5751270241088,1,1,1,11.5,20.5,0,0,0
"991",991,"T530","Pass",530,71,16,10,12.5680577459582,1,1,1,5,9.5,0,0,0
"992",992,"T590","Fail",590,98,23,20,16.804923885471,1,1,1,6,12,0,0,0
"993",993,"T317","Pass",317,31,16,17,21.0996793112457,1,1,1,11.5,33,0,0,0
"994",994,"T844","Pass",844,77,7,16,1.79856952107325,1,1,1,8,16.5,0,0,0
"995",995,"T649","Fail",649,77,12,9,16.745628123997,1,0,1,5,10.5,1,0,0
"996",996,"T495","Pass",495,28,17,19,0.966189526728354,1,1,1,4.5,11,0,0,0
"997",997,"T958","Pass",958,56,20,26,7.99467829244444,1,1,1,8,18,0,0,0
"998",998,"T825","Pass",825,54,5,28,24.7106931953412,1,0,1,27,66.5,11,0,0
"999",999,"T786","Pass",786,55,6,28,17.3979070122475,1,1,1,18.5,64,0,0,0
"1000",1000,"T265","FALSE",265,36,21,26,4.04642838491872,0,0,0,0,0,0,0,0
"1001",1001,"T792","Pass",792,35,8,26,17.1507429355739,1,0,0,30.5,45.5,15,2,0
"1002",1002,"T1169","Pass",1169,86,11,30,14.9991543206007,1,1,1,7.5,14.5,0,0,0
"1003",1003,"T1135","Pass",1135,82,13,22,26.3049041709632,1,1,1,5,9.5,0,0,0
"1004",1004,"T407","Pass",407,98,7,22,17.4316655083939,1,1,1,11,22,0,0,0
"1005",1005,"T671","Pass",671,62,7,12,11.1895208121007,1,1,1,7,12.5,0,0,0
"1006",1006,"T839","Pass",839,49,15,15,8.78674610307417,1,1,1,20,35.5,0,0,0
"1007",1007,"T935","Pass",935,58,25,13,12.4958781466179,1,1,1,11,21,0,0,0
"1008",1008,"T719","Pass",719,41,17,12,9.89092004381958,1,1,1,5,9.5,0,0,0
"1009",1009,"T732","Pass",732,25,9,23,18.2202132502026,1,1,1,17,42.5,0,0,0
"1010",1010,"T984","Pass",984,90,25,16,18.5538305562118,1,1,1,7.5,16,0,0,0
"1011",1011,"T673","Pass",673,90,9,28,3.90201442327769,1,0,1,11,22.5,0.5,0,0
"1012",1012,"T1153","Pass",1153,56,14,21,4.14429469397897,1,1,1,6,11.5,0,0,0
"1013",1013,"T342","Pass",342,41,24,13,9.91769963738276,1,1,1,13,23.5,0,0,0
"1014",1014,"T361","Pass",361,48,4,11,8.79085679869074,1,0,0,12,30,20,8,0
"1015",1015,"T550","Pass",550,60,12,25,8.53246505032806,1,1,1,10,16,0,0,0
"1016",1016,"T1005","Fail",1005,60,19,13,24.0730919774182,1,1,1,6.5,13.5,0,0,0
"1017",1017,"T620","Pass",620,29,6,21,6.72326459462568,1,1,1,15.5,39.5,0,0,0
"1018",1018,"T554","Pass",554,97,25,10,0.358839569271542,1,1,1,6,11.5,0,0,0
"1019",1019,"T719","Pass",719,44,11,20,13.581298605351,1,0,0,14,22,7,3.5,0
"1020",1020,"T353","Fail",353,31,24,22,26.1047544659898,1,0,0,16,32.5,16.5,5,0
"1021",1021,"T861","Pass",861,58,14,20,25.4831031330405,1,0,1,7,13.5,0.5,0,0
"1022",1022,"T1126","Fail",1126,48,11,10,21.010784595384,1,0,0,12,28.5,11.5,1.5,0
"1023",1023,"T470","Pass",470,46,12,25,0.91998279763828,1,1,1,7.5,16.5,0,0,0
"1024",1024,"T850","Fail",850,56,9,17,25.2334558312844,1,1,1,13,30,0,0,0
"1025",1025,"T626","Pass",626,94,15,24,0.0142499834145419,1,1,1,5.5,12,0,0,0
"1026",1026,"T1164","Pass",1164,44,9,29,15.1628808141195,1,1,1,7,14.5,0,0,0
"1027",1027,"T385","Pass",385,27,18,20,8.34808602909068,1,1,1,15.5,31,0,0,0
"1028",1028,"T672","Pass",672,85,13,25,1.94798757470236,1,1,1,7.5,15.5,0,0,0
"1029",1029,"T393","FALSE",393,33,16,21,24.5021599881854,0,0,0,0,0,0,0,0
"1030",1030,"T697","Pass",697,34,12,27,12.7529890241341,1,1,1,11.5,23.5,0,0,0
"1031",1031,"T1170","Fail",1170,71,14,24,6.62987336217333,1,1,1,5,12.5,0,0,0
"1032",1032,"T864","Pass",864,37,23,8,3.18389563680277,1,1,1,8,15,0,0,0
"1033",1033,"T284","FALSE",284,57,2,17,22.9448275598946,0,0,0,0,0,0,0,0
"1034",1034,"T549","Pass",549,95,14,14,2.64477491712244,1,1,1,6.5,12,0,0,0
"1035",1035,"T410","FALSE",410,65,24,28,10.0948875464804,0,0,0,0,0,0,0,0
"1036",1036,"T1051","Fail",1051,80,17,10,24.2615142524154,1,1,1,5,11.5,0,0,0
"1037",1037,"T792","Pass",792,28,3,15,17.970943514256,1,1,1,36,73,0,0,0
"1038",1038,"T466","Pass",466,73,19,10,1.52684762535454,1,1,1,4,9,0,0,0
"1039",1039,"T1030","Pass",1030,62,2,25,4.28341952600144,1,1,1,44.5,98,0,0,0
"1040",1040,"T293","FALSE",293,77,3,32,22.6649869195598,0,0,0,0,0,0,0,0
"1041",1041,"T994","Pass",994,59,9,23,9.85246667885012,1,1,1,22,45.5,0,0,0
"1042",1042,"T242","FALSE",242,40,14,32,1.18550720565231,0,0,0,0,0,0,0,0
"1043",1043,"T1061","Pass",1061,97,5,12,16.0674509149387,1,1,1,10.5,20,0,0,0
"1044",1044,"T641","Pass",641,75,13,26,19.6014714083762,1,0,1,5,13,2.5,0,0
"1045",1045,"T880","Pass",880,80,20,23,23.6541944713488,1,1,1,7.5,16,0,0,0
"1046",1046,"T1170","Pass",1170,54,8,20,12.8129807737235,1,1,1,8.5,15.5,0,0,0
"1047",1047,"T1029","Fail",1029,63,4,16,18.1623144069526,1,1,1,9.5,18,0,0,0
"1048",1048,"T882","Fail",882,34,20,9,23.2455639221359,1,0,1,4,9,1.5,0,0
"1049",1049,"T752","Pass",752,79,23,21,13.9785782477045,1,1,1,7,13,0,0,0
"1050",1050,"T211","FALSE",211,54,14,17,5.41923063238105,0,0,0,0,0,0,0,0
"1051",1051,"T1184","Pass",1184,98,21,30,6.63528124770243,1,1,1,10,21,0,0,0
"1052",1052,"T1154","Pass",1154,27,20,14,5.03396743097203,1,1,1,7,13.5,0,0,0
"1053",1053,"T712","Pass",712,45,19,23,18.3581240424272,1,1,1,6.5,12,0,0,0
"1054",1054,"T1172","Pass",1172,100,25,20,5.36821510949451,1,1,1,4.5,11,0,0,0
"1055",1055,"T1120","Pass",1120,55,11,27,10.1413506730858,1,0,1,14.5,47.5,44.5,0,0
"1056",1056,"T1099","Fail",1099,35,12,28,25.1725607211301,1,0,1,33,67,2,0,0
"1057",1057,"T305","FALSE",305,77,3,27,22.1729562686009,0,0,0,0,0,0,0,0
"1058",1058,"T667","Pass",667,99,9,29,26.1104604937604,1,1,1,10.5,20,0,0,0
"1059",1059,"T1080","Fail",1080,97,19,8,18.1249324673342,1,1,1,7,15,0,0,0
"1060",1060,"T562","Pass",562,96,25,18,2.4503749404659,1,1,1,6,11.5,0,0,0
"1061",1061,"T423","Pass",423,50,19,14,3.19830397158791,1,1,1,9,17,0,0,0
"1062",1062,"T349","Pass",349,29,16,29,23.5461220209459,1,0,1,21.5,47,3.5,0,0
"1063",1063,"T748","Fail",748,33,17,17,23.0994270434761,1,0,1,18,32,1,0,0
"1064",1064,"T1088","Pass",1088,29,16,19,22.5543710887269,1,1,1,25.5,67,0,0,0
"1065",1065,"T266","FALSE",266,53,24,22,23.717623991074,0,0,0,0,0,0,0,0
"1066",1066,"T794","Pass",794,62,6,20,6.23881464651576,1,1,1,22.5,60,0,0,0
"1067",1067,"T673","Pass",673,49,12,16,1.73996760063153,1,1,1,7,13,0,0,0
"1068",1068,"T820","Fail",820,60,6,16,21.0570071684672,1,0,1,13.5,26,1.5,0,0
"1069",1069,"T1022","Pass",1022,27,12,32,13.3664690829669,1,1,1,29.5,63,0,0,0
"1070",1070,"T536","Fail",536,92,7,26,11.2291891361652,1,1,1,8,15,0,0,0
"1071",1071,"T1102","Pass",1102,77,16,13,23.571324279601,1,1,1,6,12,0,0,0
"1072",1072,"T399","Pass",399,98,21,23,9.05593215166335,1,1,1,9.5,15.5,0,0,0
"1073",1073,"T209","FALSE",209,43,22,14,25.5246657767603,0,0,0,0,0,0,0,0
"1074",1074,"T273","FALSE",273,65,14,25,14.09791767746,0,0,0,0,0,0,0,0
"1075",1075,"T1174","Pass",1174,88,7,22,7.46513273695507,1,1,1,10,15,0,0,0
"1076",1076,"T293","FALSE",293,75,18,18,4.12064093268383,0,0,0,0,0,0,0,0
"1077",1077,"T1107","Pass",1107,34,11,31,4.01238960187184,1,1,1,15.5,57,0,0,0
"1078",1078,"T696","Fail",696,59,8,13,18.6631361603886,1,1,1,6.5,13.5,0,0,0
"1079",1079,"T603","Pass",603,34,23,23,23.6280557697725,1,0,1,10.5,19.5,0.5,0,0
"1080",1080,"T541","Pass",541,87,24,29,15.7622968303573,1,1,1,6.5,12,0,0,0
"1081",1081,"T430","Fail",430,40,6,18,16.3804119790222,1,1,1,22,51.5,0,0,0
"1082",1082,"T649","Pass",649,100,24,24,18.3800556270771,1,1,1,5,10.5,0,0,0
"1083",1083,"T576","Fail",576,32,21,18,21.0463869979198,1,1,1,6,12,0,0,0
"1084",1084,"T588","Pass",588,100,9,29,21.5243123242909,1,1,1,9,17.5,0,0,0
"1085",1085,"T1092","Pass",1092,26,18,27,11.0754686240114,1,0,1,25,46.5,0.5,0,0
"1086",1086,"T380","FALSE",380,31,16,21,26.1275034846894,0,0,0,0,0,0,0,0
"1087",1087,"T390","Pass",390,44,23,19,3.98228853851114,1,1,1,11.5,22.5,0,0,0
"1088",1088,"T479","Pass",479,94,17,28,3.6763609610477,1,1,1,7.5,13.5,0,0,0
"1089",1089,"T1116","Fail",1116,70,24,8,16.4701740362777,1,1,1,6,12.5,0,0,0
"1090",1090,"T302","Pass",302,57,24,8,14.7609685745246,1,0,1,5.5,11,0.5,0,0
"1091",1091,"T577","Fail",577,94,8,20,17.284684801369,1,1,1,6,12.5,0,0,0
"1092",1092,"T423","Pass",423,42,11,25,22.7018698536041,1,1,1,23,44.5,0,0,0
"1093",1093,"T936","Pass",936,44,12,15,6.29086985123926,1,1,1,8.5,17,0,0,0
"1094",1094,"T352","FALSE",352,72,10,19,17.3045921184735,0,0,0,0,0,0,0,0
"1095",1095,"T570","Pass",570,68,15,14,0.498893421970773,1,1,1,5,10,0,0,0
"1096",1096,"T857","Fail",857,93,7,13,18.4844409803958,1,0,1,9.5,18,1.5,0,0
"1097",1097,"T714","Pass",714,82,21,27,11.165036814464,1,1,1,7.5,14,0,0,0
"1098",1098,"T781","Pass",781,37,13,18,14.7616918577433,1,1,1,6.5,15.5,0,0,0
"1099",1099,"T839","Pass",839,57,14,24,2.18042942907265,1,1,1,28,64,0,0,0
"1100",1100,"T263","FALSE",263,65,18,32,3.76995441418397,0,0,0,0,0,0,0,0
"1101",1101,"T495","Pass",495,52,23,25,1.01314446494519,1,1,1,8.5,14.5,0,0,0
"1102",1102,"T271","FALSE",271,76,13,17,7.89456024224847,0,0,0,0,0,0,0,0
"1103",1103,"T687","Pass",687,37,23,13,7.05011359112593,1,1,1,6.5,13,0,0,0
"1104",1104,"T682","Pass",682,43,24,16,16.119187900959,1,1,1,6.5,14,0,0,0
"1105",1105,"T259","FALSE",259,98,9,25,21.7365389895733,0,0,0,0,0,0,0,0
"1106",1106,"T480","Pass",480,80,18,31,15.6612885612261,1,1,1,9.5,17,0,0,0
"1107",1107,"T947","Fail",947,86,25,25,24.743749169576,1,1,1,6.5,11.5,0,0,0
"1108",1108,"T707","Fail",707,46,22,14,23.7469427017497,1,1,1,6,11.5,0,0,0
"1109",1109,"T1016","Pass",1016,40,22,30,2.60294417181611,1,1,1,13,27,0,0,0
"1110",1110,"T712","Pass",712,85,10,29,4.80794708899013,1,1,1,9.5,19,0,0,0
"1111",1111,"T586","Pass",586,27,2,27,10.0085695895543,1,0,1,25.5,74.5,2,0,0
"1112",1112,"T1142","Fail",1142,53,23,12,23.2297933864745,1,1,1,5,9,0,0,0
"1113",1113,"T841","Pass",841,29,3,32,25.3105849879342,1,0,1,26,76,1.5,0,0
"1114",1114,"T395","FALSE",395,47,9,28,0.909964007811621,0,0,0,0,0,0,0,0
"1115",1115,"T309","Pass",309,46,9,21,9.00818205846962,1,1,1,17,34,0,0,0
"1116",1116,"T993","Pass",993,65,8,32,19.4233116233153,1,0,0,25.5,46.5,13.5,2.5,0
"1117",1117,"T967","Fail",967,94,16,12,17.8087471815133,1,1,1,5.5,12.5,0,0,0
"1118",1118,"T1067","Fail",1067,76,19,8,22.1112852593507,1,1,1,8.5,15.5,0,0,0
"1119",1119,"T261","FALSE",261,55,23,15,24.7250158133835,0,0,0,0,0,0,0,0
"1120",1120,"T1030","Fail",1030,90,15,25,25.016517305607,1,1,1,10,18.5,0,0,0
"1121",1121,"T460","Pass",460,42,14,25,20.3788320941525,1,1,1,9.5,18,0,0,0
"1122",1122,"T1101","Pass",1101,66,7,29,19.4367101565043,1,1,1,21,42.5,0,0,0
"1123",1123,"T867","Pass",867,90,18,10,7.05499388032407,1,1,1,5,10.5,0,0,0
"1124",1124,"T792","Pass",792,58,9,18,16.5927811970536,1,1,1,23,40.5,0,0,0
"1125",1125,"T307","FALSE",307,36,22,30,8.45713382904255,0,0,0,0,0,0,0,0
"1126",1126,"T287","FALSE",287,42,23,13,9.91544416970038,0,0,0,0,0,0,0,0
"1127",1127,"T1000","Pass",1000,96,20,29,18.6705154816436,1,1,1,8,16.5,0,0,0
"1128",1128,"T304","Fail",304,25,16,8,20.227339020374,1,0,0,5,9.5,100,98,0
"1129",1129,"T908","Pass",908,66,10,17,1.00782256145938,1,1,1,10,15,0,0,0
"1130",1130,"T378","Pass",378,34,6,13,5.00868580427696,1,1,1,17.5,35.5,0,0,0
"1131",1131,"T208","FALSE",208,25,24,24,12.0314146985591,0,0,0,0,0,0,0,0
"1132",1132,"T489","Pass",489,29,11,17,2.32053181942506,1,1,1,5,10.5,0,0,0
"1133",1133,"T865","Pass",865,48,14,23,5.29125889175641,1,1,1,11,34.5,0,0,0
"1134",1134,"T283","FALSE",283,62,12,18,22.5965343542846,0,0,0,0,0,0,0,0
"1135",1135,"T484","FALSE",484,98,14,8,23.0921722036868,0,0,0,0,0,0,0,0
"1136",1136,"T390","FALSE",390,84,24,28,21.0539087978865,0,0,0,0,0,0,0,0
"1137",1137,"T560","Pass",560,90,11,16,6.80791647053929,1,1,1,8,16.5,0,0,0
"1138",1138,"T938","Pass",938,98,18,12,8.76621768663451,1,1,1,7,12.5,0,0,0
"1139",1139,"T694","Pass",694,65,4,28,21.60686472922,1,1,1,15,26,0,0,0
"1140",1140,"T440","FALSE",440,36,21,29,3.75525239173789,0,0,0,0,0,0,0,0
"1141",1141,"T681","Pass",681,58,5,16,5.22832338008401,1,1,1,7,17,0,0,0
"1142",1142,"T389","Pass",389,72,2,10,26.4887704280189,1,0,1,20,40.5,10.5,0,0
"1143",1143,"T879","Pass",879,62,22,28,14.5524152045303,1,1,1,12,26.5,0,0,0
"1144",1144,"T1191","Pass",1191,62,8,17,5.44149331206339,1,1,1,17,37,0,0,0
"1145",1145,"T254","FALSE",254,70,24,32,24.7767623008639,0,0,0,0,0,0,0,0
"1146",1146,"T483","Pass",483,31,2,10,16.77458891961,1,0,1,11,21.5,2,0,0
"1147",1147,"T323","Pass",323,63,4,8,25.2330696586329,1,0,0,11.5,27,4,1,0
"1148",1148,"T208","FALSE",208,98,17,30,21.3558358781601,0,0,0,0,0,0,0,0
"1149",1149,"T398","Fail",398,62,20,14,23.0203250814094,1,1,1,11,22.5,0,0,0
"1150",1150,"T1194","Pass",1194,60,12,28,22.4574071900856,1,1,1,21,45,0,0,0
"1151",1151,"T234","FALSE",234,100,14,25,4.70853480600961,0,0,0,0,0,0,0,0
"1152",1152,"T575","Pass",575,36,12,29,14.1507697955475,1,1,1,9,20,0,0,0
"1153",1153,"T792","Pass",792,39,17,18,15.5882528433204,1,1,1,11,47.5,0,0,0
"1154",1154,"T396","FALSE",396,45,19,25,22.494541499445,0,0,0,0,0,0,0,0
"1155",1155,"T1194","Pass",1194,85,18,22,12.0573439916586,1,1,1,6,12,0,0,0
"1156",1156,"T1037","Pass",1037,79,19,14,7.58268536162795,1,1,1,6,12.5,0,0,0
"1157",1157,"T294","Fail",294,62,17,12,19.8435162773209,1,0,1,4,8,0.5,0,0
"1158",1158,"T1045","Pass",1045,44,19,31,19.4964460515189,1,1,1,7,15,0,0,0
"1159",1159,"T551","Pass",551,68,5,16,14.851760534517,1,1,1,9,15,0,0,0
"1160",1160,"T390","Pass",390,29,14,17,0.60593458143645,1,1,1,12.5,26,0,0,0
"1161",1161,"T1096","Pass",1096,29,18,31,20.4387271818107,1,0,1,16.5,45,1.5,0,0
"1162",1162,"T670","Pass",670,34,16,17,7.78460893982672,1,1,1,6.5,11.5,0,0,0
"1163",1163,"T908","Pass",908,51,15,27,9.77710174589092,1,1,1,10.5,20,0,0,0
"1164",1164,"T1131","Fail",1131,43,7,20,23.8314442016343,1,1,1,13,39.5,0,0,0
"1165",1165,"T930","Pass",930,100,12,11,3.3996579002405,1,1,1,10,16,0,0,0
"1166",1166,"T512","Fail",512,71,19,28,3.26295887116529,1,1,1,4,10,0,0,0
"1167",1167,"T502","Pass",502,83,19,28,5.36505414033379,1,1,1,6,12,0,0,0
"1168",1168,"T1015","Pass",1015,76,7,10,23.982160672962,1,0,1,8.5,16.5,1,0,0
"1169",1169,"T274","FALSE",274,65,5,28,20.9246187605346,0,0,0,0,0,0,0,0
"1170",1170,"T1175","Fail",1175,34,21,8,16.5810157612374,1,1,1,4,9,0,0,0
"1171",1171,"T285","FALSE",285,27,22,30,2.6490577865981,0,0,0,0,0,0,0,0
"1172",1172,"T1043","Pass",1043,45,12,28,0.82326774470252,1,1,1,8.5,15.5,0,0,0
"1173",1173,"T454","Fail",454,75,11,30,12.2223264609647,1,0,1,12,24,3.5,0,0
"1174",1174,"T322","Pass",322,58,21,31,22.4479809828745,1,1,1,13.5,28.5,0,0,0
"1175",1175,"T648","Pass",648,59,2,23,10.2362517430615,1,1,1,21,40,0,0,0
"1176",1176,"T1108","Pass",1108,88,23,25,16.4864410849223,1,1,1,4,9,0,0,0
"1177",1177,"T1018","Fail",1018,50,4,8,20.5907809095972,1,1,1,8.5,16,0,0,0
"1178",1178,"T573","Pass",573,82,23,17,4.31619289966859,1,1,1,10,20,0,0,0
"1179",1179,"T336","Pass",336,72,14,28,24.5823229733554,1,0,1,16.5,51.5,2.5,0,0
"1180",1180,"T690","Fail",690,57,17,28,22.9272617171949,1,1,1,10,20,0,0,0
"1181",1181,"T627","Pass",627,32,12,13,11.6822638504482,1,1,1,8,16,0,0,0
"1182",1182,"T1185","Pass",1185,37,22,27,15.5871573003023,1,0,1,7.5,16,2,0,0
"1183",1183,"T515","Fail",515,30,5,8,23.1275545918953,1,0,1,6.5,13,3.5,0,0
"1184",1184,"T771","Pass",771,41,15,17,1.58822730379947,1,1,1,6.5,12.5,0,0,0
"1185",1185,"T492","Fail",492,34,21,14,26.4121736677883,1,0,1,6.5,11.5,1.5,0,0
"1186",1186,"T708","Pass",708,96,7,14,16.1875092905581,1,1,1,6.5,16,0,0,0
"1187",1187,"T294","Pass",294,73,19,10,16.4306114869083,1,0,1,6.5,11.5,0.5,0,0
